,0,1,2,3
0,1,0,1,0
1,0,0,0,0
2,0,0,1,0
3,2,2,2,2
4,2,2,2,2
5,1,1,1,0
6,1,1,0,1
7,2,2,2,2
8,2,2,2,2
9,2,2,2,2
10,2,2,2,2
11,2,2,2,2
12,2,2,2,2
13,2,0,2,2
14,2,2,2,2
15,2,2,2,2
16,2,2,2,2
17,2,2,2,2
18,2,2,2,2
19,1,1,1,1
20,2,2,2,2
21,2,0,2,2
22,1,0,1,0
23,2,0,1,0
24,2,2,2,2
25,0,0,0,0
26,0,0,1,0
27,2,0,2,0
28,0,0,1,0
29,2,1,1,2
30,0,0,0,0
31,0,0,0,0
32,2,2,2,2
33,2,0,0,0
34,2,0,2,2
35,2,2,2,2
36,2,0,2,2
37,2,0,2,2
38,2,2,2,2
39,2,2,2,2
40,0,1,0,0
41,2,2,2,2
42,2,2,2,2
43,1,1,0,1
44,2,2,2,2
45,1,1,1,1
46,2,2,2,2
47,2,2,2,2
48,2,0,2,2
49,0,0,0,0
50,2,2,2,2
51,3,3,3,3
52,2,2,2,2
53,0,1,0,2
54,1,0,0,0
55,2,2,1,1
56,0,0,0,0
57,2,0,2,0
58,2,2,2,2
59,3,3,3,3
60,2,2,0,2
61,2,2,2,2
62,1,0,0,2
63,2,2,2,2
64,2,2,2,2
65,2,2,2,2
66,2,2,2,2
67,2,2,2,2
68,0,0,0,0
69,2,2,2,0
70,2,0,0,0
71,2,2,2,2
72,1,2,1,2
73,2,2,2,2
74,2,0,2,1
75,1,0,1,0
76,0,0,1,0
77,2,2,2,2
78,0,0,0,1
79,2,2,2,2
80,1,2,2,2
81,0,0,2,2
82,2,2,2,2
83,2,2,2,2
84,2,0,2,2
85,0,0,0,0
86,2,2,2,2
87,0,0,1,0
88,0,0,0,0
89,0,0,0,0
90,0,0,0,0
91,2,2,2,2
92,2,2,2,2
93,2,2,2,2
94,2,2,0,2
95,2,2,2,2
96,0,0,0,0
97,1,0,1,1
98,2,2,2,2
99,3,3,3,3
