,0,1,2,3
0,1,0,1,0
1,0,0,0,0
2,0,0,1,0
3,1,1,1,1
4,1,1,1,1
5,1,1,1,0
6,1,1,0,1
7,2,2,2,2
8,1,1,1,1
9,2,2,2,2
10,1,1,1,1
11,2,2,2,2
12,1,1,1,1
13,1,1,1,0
14,1,1,1,1
15,1,1,1,1
16,1,1,1,1
17,2,2,2,2
18,1,1,1,1
19,1,1,1,1
20,2,2,2,2
21,1,1,1,1
22,1,0,1,0
23,2,0,1,0
24,2,2,2,2
25,0,0,0,0
26,0,0,1,0
27,2,0,2,0
28,0,0,1,0
29,2,1,1,2
30,0,0,0,0
31,0,0,0,0
32,1,1,1,1
33,2,0,0,0
34,1,1,1,1
35,2,2,2,2
36,2,0,2,2
37,2,0,2,2
38,2,2,2,2
39,2,2,2,2
40,0,1,0,0
41,1,1,1,1
42,1,1,1,0
43,1,1,0,1
44,1,1,1,1
45,1,1,1,1
46,1,1,1,1
47,1,1,1,1
48,2,0,2,2
49,0,0,0,0
50,1,1,1,1
51,1,1,1,1
52,1,1,1,1
53,0,1,0,2
54,1,0,0,0
55,2,2,1,1
56,0,0,0,0
57,2,0,2,0
58,1,1,1,1
59,1,1,1,1
60,1,1,1,1
61,1,1,1,1
62,1,0,0,2
63,1,1,1,1
64,1,1,1,1
65,1,1,1,1
66,1,1,1,1
67,1,1,1,1
68,0,0,0,0
69,1,1,1,1
70,2,0,0,0
71,2,2,2,2
72,1,2,1,2
73,2,2,2,2
74,2,0,2,1
75,1,0,1,0
76,0,0,1,0
77,1,1,1,0
78,0,0,0,1
79,2,2,2,2
80,1,0,1,1
81,0,0,2,2
82,1,1,1,1
83,1,1,1,1
84,2,0,2,2
85,0,0,0,0
86,2,2,2,2
87,0,0,1,0
88,0,0,0,0
89,0,0,0,0
90,0,0,0,0
91,1,1,1,1
92,1,1,1,1
93,1,1,1,1
94,1,1,1,1
95,1,1,1,1
96,1,1,1,1
97,1,0,1,1
98,2,2,2,2
99,1,1,1,1
