,0,1,2,3
0,0,0,0,0
1,0,0,0,0
2,0,0,1,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,2,0,0
8,3,3,3,3
9,2,0,2,2
10,2,2,2,2
11,0,2,0,2
12,2,2,2,2
13,1,0,0,0
14,0,0,0,2
15,2,0,2,0
16,2,0,2,2
17,2,2,2,2
18,0,0,0,0
19,2,2,0,0
20,2,2,2,2
21,2,0,2,0
22,0,0,0,0
23,0,0,0,0
24,2,0,1,0
25,0,0,0,0
26,2,0,2,2
27,2,0,0,0
28,0,0,0,0
29,0,0,2,0
30,0,0,0,0
31,0,0,0,0
32,2,2,0,2
33,0,0,0,0
34,2,0,0,2
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,2,2,0,0
46,0,0,0,0
47,0,0,0,0
48,0,2,0,0
49,0,2,2,2
50,3,3,3,3
51,3,3,3,3
52,2,2,2,2
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,3,3,3,3
59,3,3,3,3
60,2,2,2,2
61,2,2,2,2
62,1,0,0,0
63,0,0,0,0
64,3,3,3,3
65,0,0,0,0
66,2,2,2,2
67,0,0,0,0
68,0,0,0,0
69,0,2,0,0
70,0,0,0,2
71,1,0,1,1
72,0,0,0,0
73,2,2,2,2
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,2,0,0,2
78,2,2,2,0
79,0,0,1,1
80,0,0,0,0
81,0,0,0,0
82,1,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
90,0,2,2,2
91,0,0,0,2
92,3,3,3,3
93,0,2,0,2
94,0,0,0,0
95,3,3,3,3
96,0,0,0,0
97,0,0,0,0
98,0,0,0,0
99,3,3,3,3
